MULTI_SEL_DESC;Нажмите §GSHIFT+LMB§! Чтобы выбрать несколько отрядов из уже выбранных.;;§GSHIFT+LMT§!, um mehrere Einheiten in der momentanen Auswahl auszuwдhlen.;;;;;;;;x;;;;
SM_DETAILS;Детали;;Details;;;;;;;;x;;;;
DISBAND_ALL;Распустить выбранные войска;;Alle ausgewдhlten Einheiten auflцsen;;;;;;;;x;;;;
DISBAND_ALL_TITLE;Распустить все войска;;Alle Einheiten auflцsen;;;;;;;;x;;;;
DISBAND_ALL_DESC;Вы уверены, что хотите §Rраспустить§! все §Y$NUM$§! армий?;;Seid Ihr sicher, dass Ihr §Y$NUM$§! Einheiten §RAUFLЦSEN§! wollt?;;;;;;;;x;;;;
DATE_DIFF_A;$Y$ лет, $M$ месяцев и $D$ дней;;$Y$ Jahre, $M$ Monat) und $D$ Tage;;;;;;;;x;;;;
DATE_DIFF_B;$M$ месяцев и $D$ дней;;$M$ Monate und $D$ Tage;;;;;;;;x;;;;
DATE_DIFF_C;$D$ дней;;$D$ Tage;;;;;;;;x;;;;
torpedo_attacks;Торпедные атаки;;Torpedo-Angriffe;;;;;;;;x;;;;
TORPEDO_ATTACK;Торпедная атака;;Torpedo-Angriff;;;;;;;;x;;;;
TORPEDO_ATTACK_DESC;Торпедные атаки наносят огромный урон крупным кораблям.;;Torpedo-Angriffe richten gegen grцЯere Schiffe mehr Schaden an.;;;;;;;;x;;;;
NAVAL_COMBAT_STACK_PENALTY_DESC;§Yштраф к координации §R$PEN$%§Y вызван плохой слаженностью во флоте.  Это усложнит нашим кораблям поиск целей. Произошло это из-за численного превосходства наших судов над потенциальными целями.§!;;§YKoordinations-Malus §R$PEN$%§Y, der durch mangelhafte Kommunikation in der Flotte verursacht wird, wodurch es fьr unsere Schiffe schwieriger ist, Ziele zu finden. Wird durch die Schiffsanzahl und mцgliche Ziele beeinflusst.§!;;;;;;;;x;;;;
BP_TAB_CURRENT;Текущие планы;;Aktuelle Plдne;;;;;;;;;;x;;
