DIPLOMACY_AI_ACCEPTANCE;§Y$COUNTRY_ADJ$§W ответ: §Y$ODDS$§W;;§Y$COUNTRY$§Ws Antwort: §Y$ODDS$§W;;;;;;;;x;;;
TOO_SOON_FOR_REFORM;Мы должны ждать до §Y$DATE$§W чтобы провести новую реформу.;;Wir mьssen bis §Y$DATE$§W warten, bevor wir eine weitere Reform erlassen kцnnen.;;;;x;;;;;;;
SIEGE_EXTRA_ATTR;§R+$VAL$%§W истощение от сопротивления оккупации;;§R+$VAL$%§W Zermьrbung durch Widerstand gegen die Besetzung;;;;x;;;;;;;
NO_SEPARATE_PEACE_CRISIS;Мы не можем заключать сепаратный мир в кризисной войне;;Wir kцnnen in einem Konfliktkrieg keinen separaten Frieden verhandeln ;;;;;;;;;;;x
CRISIS_RESOLUTION_EFFECTS;Урегулирование кризиса в этой ситуации даст вам $VAL$ престижа.;;Die Beilegung des Konflikts auf diese Weise wird Euch $VAL$ Prestige geben.;;;;;;;;;;;x
CRISIS_RESOLUTION_RELATIONS;Отношения со следующими странами изменятся:;;Die Beziehungen mit folgenden Lдndern werden sich дndern:;;;;;;;;;;;x
flintlock_rifle_armament;Кремнёвое стрелковое вооружение;;Steinschlossgewehr-Aufrьstung;;;;;;;;;;;x
flintlock_rifle_armament_desc;Появившееся в начале XVII века, оружие с кремнёвым замком быстро вытеснило старые типы зажигательных механизмов, таких как самопал или колесцовый замок. Оно по-прежнему находится в общем пользовании более двух столетий, в течении этого времени был заменён пистон, а позже добавлена магазинная система.  Хоть кремнёвое оружие и вышло из массового производства, оно продолжает пользоваться популярностью у любителей пороховой стрельбы.;;Das Steinschloss wurde im frьhen 17. Jahrhundert eingefьhrt und ersetzte schnell die дlteren Auslцsemechanismen fьr Schusswaffen, wie z.B. das Schnappschloss, Luntenschloss oder Radschloss. Es war mehr als zwei Jahrzehnte im Einsatz, bevor es vom Zьndhьtchen und spдter, Anfang bis Mitte des 19. Jahrhunderts, von patronenbasierten Systemen abgelцst wurde. Auch wenn sie schon lange von modernen Feuerwaffen verdrдngt wurden, erfreuen sich Steinschlosswaffen bei Schwarzpulver-Liebhabern immer noch groЯer Beliebtheit.;;;;;;;;;;;x
post_napoleonic_army_doctrine;Посленаполеоновская военная доктрина;;Post-Napoleonische Armee-Doktrin;;;;;;;;;;;x
post_napoleonic_army_doctrine_desc;Французская революция и Наполеоновские войны, вызвали также революцию в военной стратегии. Влияние этого периода ощущалось как американской гражданской войне, так и на ранних этапах Первой Мировой. С появлением дешевого стрелкового оружия и высоким ростом населения, армия быстро росла в размерах, что привело к изменению в ее структуре. Потребовалось разделить армию сначала на дивизии, а затем и на корпуса. Наряду с пехотными подразделениями также появилась дивизионная артиллерия - легкие, мобильные пушки с огневым диапазоном и мощью. Жесткая формация пикенеров и мушкетеров, стрелявших массивными залпами, дала путь легкой пехоте, участвовавшей в небольших стычках.;;Die franzцsische Revolution und die nachfolgenden Napoleonischen Kriege revolutionierten militдrische Strategien. Der Einfluss dieser Periode war noch im amerikanischen Bьrgerkrieg und den Anfangsphasen des ersten Weltkriegs spьrbar. Mit dem Aufstieg billiger Handfeuerwaffen und der zum Kriegsdienst verpflichteten Bьrger, wuchsen die Armeen stark zu Massenformationen an. Dies machte es erforderlich, Armeen zunдchst in Divisionen und spдter inKorps aufzuteilen. Mit den Divisionen kam die Divisionsartillerie: leichte, mobile Kanonen mit groЯer Reichweite und Feuerkraft. Rigide Formationen von Pikenieren und Musketieren feuerten massive Salven ab und machten der leichten Infanterie in den Schьtzenlinien den Weg frei.;;;;;;;;;;;x
muzzle_loaded_rifle_armament;Дульнозарядное стрелковое вооружение;;Vorderlader-Aufrьstung;;;;;;;;;;;x
muzzle_loaded_rifle_armament_desc;Дульнозарядное ружье - это оружие, в котором снаряд и метательный заряд загружается с дула, в отличии от казеннозарядных винтовок. Первое ручное дульнозарядное оружие появилось в 40-х годах XV века. Самым известным дульнозарядным ружьем стала Винтовка Кентукки, которая на самом деле была создана в Пенсильвании. Это американская винтовка за основу которой взят немецкий "Jager".;;Vorderlader sind Waffen, deren Projektile und Ladungen durch den Lauf geladen werden, im Gegensatz zu den Hinterladern. Handgewehre waren in den 1740ern weit entwickelt. Ein bekannter Vorderlader ist das Kentucky-Gewehr, das in Pennsylvania entwickelt wurde. Das amerikanische Langgewehr wurde vom deutschen Jagdgewehr weiterentwickelt.;;;;;;;;;;;x
breech_loaded_rifle_armament;Казеннозарядное стрелковое вооружение;;Hinterlader-Aufrьstung;;;;;;;;;;;x
breech_loaded_rifle_armament_desc;Казеннозарядное оружие - это огнестрельное оружие, в которое патрон или снаряд заряжается в специальную камеру в задней части ствола. Несмотря на то, что казеннозарядное оружие было разработаны еще в конце XIV века, повсеместное его использование началось с появлением точного машиностроения в XIX веке.;;Ein Hinterlader ist eine Feuerwaffe, die mit Patronen oder Granaten in einer Kammer am hinteren Lauf der Waffe geladen wird. Auch wenn Hinterlader schon im spдten 14. Jahrhundert entwickelt wurden, wurden sie erst mit Verbesserungen in der Prдzision und ihrer Bauweise im 19. Jahrhundert erfolgreicher.;;;;;;;;;;;x
bolt_action_rifle_armament;Скользящий затвор;;Kammerverschluss-Aufrьstung;;;;;;;;;;;x
bolt_action_rifle_armament_desc;Скользящий затвор - механизм огнестрельного стрелкового оружия, обеспечивающий открывание и закрывание канала ствола путём прямолинейного поступательного движения затвора вдоль оси ствола. Впервые был применен в 1824 году Иоганном Николаусом фон Дрейзе в одноименной винтовке. Европейские армии продолжали совершенствовать этот механизм  вплоть до конца XIX века, и в 1898 году появилась Винтовка Маузера, одна из самых удачных и совершенных систем такого оружия.;;Beim Kammerverschluss wird der Waffenbolzen manuell durch das Цffnen und SchlieЯen des Hinterladerlaufs, mithilfe eines kleinen Hebels, betдtigt. Das erste Gewehr mit Kammerverschluss wurde 1824 von Johann Nikolaus von Dreyse bei seiner Arbeit an Hinterlader-Gewehren hergestellt. Europдische Armeen entwickelten diese Gewehre im spдten 19. Jahrhundert weiter und ihre Verwendung fand im ersten Weltkrieg ihren Hцhepunkt, als alle kriegsbeteiligten Nationen ihre Truppen mit verschiedenen Entwicklungen dieses Designs ausrьsteten.;;;;;;;;;;;x
machine_gun_armament;Пулеметное вооружение;;Maschinengewehr-Aufrьstung;;;;;;;;;;;x
machine_gun_armament_desc;"Пушка Гатлинга, запатентованная в 1861 году Ричардом Джорданом Гатлингом, была первым оружием, которое производило контролируемый последовательный огонь с автоматической загрузкой. Однако во время американской гражданской войны у этого оружия были выявлены серьезные недостатки, и впоследствии оно было усовершенствовано и широко использовано во франко-прусской войне и северо-западном восстании. Данное оружие активно использовалось вплоть до начала XX века. Первым же пулеметом с автономным питанием стал изобретенный в 1885 году сэром Хайрам Максимом ""Пулемет Максим"". Он использовал энергию отдачи оружия, которая до этого никак не использовалась, позволяя значительно увеличить темп стрельбы, чем это было возможно в более ранних конструкциях.";;Das Repetiergeschьtz wurde 1861 von Richard Jordan Gatling patentiert und bot als erstes die Mцglichkeit kontrollierter, aufeinanderfolgender Feuersalven mit automatischem Nachladen. Zu einem ersten, begrenzten Einsatz kam das Gewehr im amerikanischen Bьrgerkrieg. Es wurde fortlaufend weiterentwickelt und kam auch im Deutsch-Franzцsischen Krieg und im Nordwest-Widerstand zum Einsatz. Viele Gewehre wurden im spдten 19. Jahrhundert an andere Armeen verkauft und bis ins frьhe 20. Jahrhundert hinein verwendet. Das erste selbstladende Maschinengewehr wurde 1885 von Sir Hiram Maxim erfunden. Das Maxim-Maschinengewehr nutzte die Energie des RьckstoЯes zuvor abgeschossener Kugeln zum Nachladen, keinen Handantrieb, und erlaubte eine hцhere Feuerrate als frьhere Entwicklungen, wie z.B. das Nordenfelt und das Gatling-Gewehr.;;;;;;;;;;;x
cuirassier_activation;Кирасиры;;Kьrassiere;;;;;;;;;;;x
cuirassier_activation_desc;Кирасиры - конные войска, оснащенные броней и оружием, впервые появились в конце XV века в Европе. Первый кирасиры были хорошо защищены и использовали огнестрел в качестве основного оружия. Важное значение они получили в ходе наполеоновских войн, а в последний раз использовались на начальных этапах Первой Мировой Войны. Сейчас же кирасиры являются неотъемлемым атрибутом торжественных военных парадов во многих странах мира.;;Kьrassiere waren berittene Kavalleriesoldaten, ausgerьstet mit Rьstung und Feuerwaffen, und tauchten erstmals im spдten 15. Jahrhundert in Europa auf. Die ersten Kьrassiere waren das Ergebnis gepanzerter Kavallerie, wie z.B. den Landsknechten und Halb-Ulanen, die ihre Lanzen ablegten und Pistolen als ihre Hauptwaffen wдhlten. Sie gewannen durch die Napoleonischen Kriege groЯe Prominenz und wurden zuletzt zu Beginn des ersten Weltkrieges auf den Kriegsschauplдtzen gesehen. Kьrassiere werden bei vielen Lдndern weiterhin als zeremonielle Truppen eingesetzt.;;;;;;;;;;;x
dragoon_activation;Драгуны;;Dragoner;;;;;;;;;;;x
dragoon_activation_desc;Словом драгун первоначально называли конную пехоту - солдат, которые прошли обучение как верховой езде, так и навыкам пехоты. Тем не менее, использование этого термина в течении XVIII века изменилось, и драгуны превратились в обычную легкую кавалерию. Драгунские полки были созданы в большинстве европейских армий в конце XVII и начале XVII веков.;;Das Wort Dragoner bezog sich ursprьnglich auf berittene Infanterie, die sowohl im Reiten als auch in Kampfkьnsten der Infanterie  ausgebildet wurden. Mit der Zeit дnderte sich die Anwendung, sodass sich Dragoner im 18. Jahrhundert zu konventionellen, leichten Kavallerieeinheiten und Besatzungen entwickelten. Dragoner-Regimenter etablierten sich im spдten 17. und frьhen 18. Jahrhundert in den meisten Armeen Europas. In den Napoleonischen Kriegen ьbernahmen Dragoner vorwiegend eine Kavallerie-Rolle, waren allerdings eine leichtere Klasse berittener Truppen als die gepanzerten Kьrassiere.;;;;;;;;;;;x
hussar_activation;Гусары;;Husaren;;;;;;;;;;;x
