KEYNAME;TEXT;;TEXT;;;;;;;;;;;x
news1;Правительство державы $TAG_2_0$ предложило перемирие на следующих условиях : $STRING_0_1$;;Die Regierung von $TAG_2_0$ bot unter folgenden Bedingungen Frieden an: $STRING_0_1$;;;;;;;;;;;x
battle_we_win_title_large;БЛЕСТЯЩАЯ ПОБЕДА В  $STRING_0_3$!;;GLORREICHER SIEG IN $STRING_0_3$!;;;;;;;;;;;x
battle_we_win_large;$DATE_LONG_0$ наша непобедимая армия снова одержала победу в $STRING_0_3$! $VALUE_INT_0_1$ наших людей храбро сражались с $VALUE_INT_0_3$ ;;Am $DATE_LONG_0$ war unsere ungeschlagene Armee in der Schlacht von $STRING_0_3$ erneut siegreich! $VALUE_INT_0_1$ unserer tapferen Mдnner gaben $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen Saures und auch wenn $VALUE_INT_0_2$ unserer tapferen Mannen ihr Leben lieЯen, wurden mehr als $VALUE_INT_0_4$ $TAG_0_3_ADJ$ Schurken getцtet. Nach einer solchen Niederlage, wird $TAG_0_3$ sicherlich um Frieden ersuchen!;;;;;;;;;;;x
battle_we_win_title_medium;Победа в  $STRING_0_3$!;;Sieg in $STRING_0_3$!;;;;;;;;;;;x
battle_we_win_medium;$DATE_LONG_0$ мы победили $VALUE_INT_0_3$ солдат державы $TAG_0_3_ADJ$  в  $STRING_0_3$, ценой $VALUE_INT_0_2$ человеческих жизней.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$, zum Preis von $VALUE_INT_0_2$ Leben.;;;;;;;;;;;x
battle_we_win_title_small;Победа!;;Sieg!;;;;;;;;;;;x
battle_we_win_small;$DATE_LONG_0$ мы победили $VALUE_INT_0_3$ солдат державы $TAG_0_3_ADJ$  в  $STRING_0_3$.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$.;;;;;;;;;;;x
battle_we_lose_title_large;ВОЕННАЯ ОШИБКА ПРИВОДИТ К КАТАСТРОФЕ В $STRING_0_3$!;;MILITДRISCHER PATZER FЬHRT ZU DESASTER IN $STRING_0_3$!;;;;;;;;;;;x
battle_we_lose_large;$DATE_LONG_0$ некомпетентное командование опрометчиво отправило $VALUE_INT_0_4$ наших храбрых солдат на смерть в  $STRING_0_3$ ;;Am $DATE_LONG_0$ sendete unser unfдhiges Oberkommando schockierenderweise $VALUE_INT_0_4$ unserer tapferen Soldaten in $STRING_0_3$ gegen die Truppen von $TAG_0_2$ in den Tod. $VALUE_INT_0_3$ feine Soldaten stellten sich $VALUE_INT1$ $TAG_0_2_ADJ$ Mann und konnten trotz schlechter Fьhrung und der Hinterlist des Gegners $VALUE_INT_0_2$ Opfer mit sich nehmen. Wir bringen unsere groЯe Sorge ьber die Richtung des Oberkommandos in diesem Krieg zum Ausdruck und fordern die Regierung dazu auf, das Ruder herumzureiЯen, bevor es zu spдt ist!;;;;;;;;;;;x
battle_we_lose_title_medium;Поражение в $STRING_0_3$;;Niederlage in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_medium;$DATE_LONG_0$ мы проиграли битву в  $STRING_0_3$, потеряли $VALUE_INT_0_4$ жизней и  $TAG_0_2$ теперь контролирует эту территорию.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Mдnner und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x
battle_we_lose_title_small;Катастрофа в $STRING_0_3$;;Desaster in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_small;$DATE_LONG_0$ мы проиграли битву в $STRING_0_3$, потеряли $VALUE_INT_0_4$ жизней и  $TAG_0_2$ теперь контролирует эту территорию.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Mдnner und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x
gwar_we_win_large_title;$TAG_3_0_UPPER$ СДАЕТСЯ!;;$TAG_3_0_UPPER$ GIBT AUF!;;;;;;;;;;;x
