JAN_reactionary;Королевская партия;;Konge Partei;;;;;;;;x;;;
EXILED_DESC;Эта армия§Rexiled§!, поскольку она находится на чужой территории без прохода войск в мирное время. Интернированные армии не могут участвовать в сражениях, их навык разведки снижен, но они могут идти домой по чужой территории. Верните юнита в ближайшую контролируемую провинцию!;;Diese Einheit befindet sich im §RExil§!, da sie sich zu Friedenszeiten ohne Durchmarschrechte in fremdem Territorium aufhдlt. Einheiten im Exil kцnnen nicht an Kдmpfen teilnehmen und haben reduzierte Sichtweite, dьrfen aber durch fremdes Territorium nach Hause marschieren. Bewegen sie diese Eineit zu einer Ihrer Provinzen, um den Status aufzuheben!;;;;;;;;x;;;
TWS_FULFILLED;Выполнен  $PERC$;;Erfьllt zu $PERC$;;;;;;;;x;;;
TWS_NOT_FULFILLED;§RНе выполнен§!;;§RNicht erfьllt§!;;;;;;;;x;;;
TICKING_WARSCORE_DESC_CURR;В настоящее время $VAL$.;;Derzeit $VAL$.;;;;;;;;x;;;
UNIT_BORROWED;Эта армия в данный момент находится под вашим контролем.;;Diese Einheit befindet sich zeitweilig unter unserem Kommando.;;;;;;;;x;;;
DISBAND_TOO_SMALL_UNIT;Распустить неукомплектованные бригады;;Unterbesetzte Brigaden auflцsen;;;;;;;;x;;;
DISBAND_TOO_SMALL_UNIT_DRO;Эта функция распустит все бригады, для поддержки которых нет достаточного количества солдат.;;Diese Option lцst alle Brigaden auf, die nicht auf einer vollwertigen Soldaten-Bevцlkerung basieren.;;;;;;;;x;;;
CONFIRM_DISBAND_TOO_SMALL_TITLE;Вы действительно хотите распустить все неукомплектованные бригады?;;Mцchten sie alle unterbesetzten Brigaden auflцsen?;;;;;;;;x;;;
CONFIRM_DISBAND_TOO_SMALL_DESC;Все бригады, не поддерживающиеся достаточной группой солдат, будут распущены, и вам больше не придется платить за их содержание. Все солдаты вернутся в пул.;;Dies entfernt alle Brigaden, die gegenwдrtig von einer zu kleinen Soldaten Bevцlkerung verstдrkt werden. Sie mьssen keine Instandhaltungskosten mehr fьr sie bezahlen und alle in den Brigaden verbleibenden Soldaten kommen in den Mannstдrke-Vorrat zurьck.;;;;;;;;x;;;
MODIFIER_RESEARCH_POINTS_ON_CONQUER;Бонус к очкам во время завоевания;;Forschungspunkte Bonus durch Eroberung;;;;;;;;x;;;
colonial_negotiations;Колониальные отношения;;Koloniale Verhandlungen;;;;;;;;x;;;
colonial_negotiations_desc;"""Что бы ни случилось, у нас есть Пулемет Максима, а у них нет."" Пулеметы позволили армиям опустошать земли, используя тактику массированного огня, которая очень пригодилась во время покорения ""нецивилизованных"" народов, которые отказывались подчиняться колонизаторам.";;Was auch immer passiert, wir haben das \nThe Maxim-Maschinengewehr, und die nicht'\n\n Die Verwendung von Maschinengewehren ermцglichte es Armeen feindliche Massenangriffe anzuwehren, eine Fдhigkeit die besonders gegen die 'unzivilisierte' Nationen wirksam war, welche sich kolonialen Ansprьchen widersetzten.;;;;;;;;x;;;
PRODUCTION_BONUS_POSSIBLE;Возможный бонус:;;Mцgliche Boni durch:;;;;;;;;x;;;
COLONIZE_PHASE_INITIAL_INTEREST;Послать экспедицию;;Expedition entsenden;;;;;;;;x;;;
COLONIZE_PHASE_INITIAL_INTEREST_DESC;Первая стадия колонизации — посылка экспедиции. Если никто не пошлет туда экспедицию в течение §Y$DAYS$§! Дней, вы сможете создать протекторат.;;Der erste Schritt um Einfluss in einer Region zu erlangen ist das Entsenden einer Expedition. Falls keine andere Nation innerhalb von §Y$DAYS$§! Tagen ebenfalls Interesse anmeldet, kцnnen wir sofort ein Protektorat errichten.;;;;;;;;x;;;
INITIAL_COLONIZE_DEFAULT_TIME;Если никто не пошлет экспедицию до §Y$DATE$§! , вы сможете создать протекторат.;;Wenn keine andere Nation bis zum §Y$DATE$§! mit unserer Expedition konkurriert, kцnnen wir sofort ein Protektorat errichten.;;;;;;;;x;;;
COUNTRYALERT_ColonialGood_protectorate;§G Мы можем создать протекторат в §!§Y$REGION$§!;;§GWir kцnnen ein Protektorat in §!§Y$REGION$§ errichten!;;;;;;;;x;;;
COUNTRYALERT_ColonialGood_colony;§G Мы можем создать колонию в §!§Y$REGION$§!;;§GWir kцnnen eine Kolonie in §!§Y$REGION$§ errichten!;;;;;;;;x;;;
COUNTRYALERT_ColonialGood_state;§G Мы можем превратить колонию в регион в §!§Y$REGION$§!;;§GWir kцnnen einen Nationalstaat §!§Y$REGION$§! Grьnden!;;;;;;;;x;;;
COUNTRYALERT_ColonialBad_colonizationtimer;§R Мы должны создать протекторат в §!§Y$REGION$§!§R до §Y$DATE$§!§R или мы потеряем ее.§!;;§RWir mьssen ein Protektorat in §!§Y$REGION$§!§R vor dem §Y$DATE$§!§R errichten oder wir werden diese Region verlieren.§!;;;;;;;;x;;;
COUNTRYALERT_ColonialBad_influence;§R Мы проигрываем гонку в §!§Y$REGION$§!;;§RWir verlieren den Wettlauf um §!§Y$REGION$§!;;;;;;;;x;;;
NON_COLONIAL_POWER;Мы не являемся колониальной или великой державой, поэтому у нас нет колониальных очков.;;Wir sind derzeit weder Sekundдrmacht noch GroЯmacht und haben daher keinerlei koloniale Einflusspunkte.;;;;;;;;;;;x
CRISIS_DESCRIPTION_COLONIZE;Кризис за право колонизации;;Koloniale Krise;;;;;;;;x;;;
colonial_competition;Выдвинуть права на колонию;;Koloniale Ansprьche druchsetzen;;;;;;;;x;;;
